Team,League
 SSV Jahn Regensburg,Germany
?l?sk Wroc?aw,Poland
1. FC Brno,Czech Republic
1. FC Heidenheim 1846,Germany
1. FC KÃ¶ln,Germany
1. FC Kaiserslautern,Germany
1. FC Magdeburg,Germany
1. FC NÃ¼rnberg,Germany
1. FC SlovÃ¡cko,Czech Republic
1. FC Union Berlin,Germany
1. FK P?Ã­bram,Czech Republic
1. FSV Mainz 05,Germany
Ã…tvidabergs FF,Sweden
Ã‡aykur Rizespor,Turkey
Ã‰vian Thonon Gaillard FC,France
Aalborg BK,Denmark
Aalesunds FK,Belgium
Aarhus GF,Denmark
Aberdeen,Scotland
AC Ajaccio,France
AC Arles Avignon,France
AC Barnechea,Chile
AC Bellinzona,Italy
AC Horsens,Denmark
Accrington Stanley,England
AD AlcorcÃ³n,Portugal
Adanaspor,Turkey
Adelaide United,Australia
ADO Den Haag,Netherlands
AEK Athens,Greece
AFC Eskilstuna,Sweden
AFC Tubize,Belgium
AFC Wimbledon,England
AIK,Sweden
AJ Auxerre,France
Ajax,Netherlands
Akhisar Belediyespor,Turkey
Al Ahli,Egypt
Al Batin,Saudi Arabia
Al Faisaly,Saudi Arabia
Al Fateh,Saudi Arabia
Al Fayha,Saudi Arabia
Al Hazem,Saudi Arabia
Al Hilal,Saudi Arabia
Al Ittihad,Saudi Arabia
Al Khaleej,Saudi Arabia
Al Nahdha Dammam,Saudi Arabia
Al Nassr,Saudi Arabia
Al Orobah,Saudi Arabia
Al Qadisiyah,Saudi Arabia
Al Raed,Saudi Arabia
Al Shabab,Saudi Arabia
Al Shoulla,Saudi Arabia
Al Taawoun,Saudi Arabia
Al Wehda,Saudi Arabia
Alaniya Vladikavkaz,Russia
Alanyaspor,Turkey
Albacete BP,Spain
Albirex Niigata,Japan
Aldershot Town,England
Alemannia Aachen,Germany
Alianza Petrolera,Colombia
Alicante CF,
All Boys,Argentina
AmÃ©rica de Cali,Mexico
AmÃ©rica de Natal,Portugal
AmÃ©rica FC (Minas Gerais),Mexico
Amiens SC,France
Amkar Perm,Russia
Ancona,Italy
Angers SCO,France
Ankaraspor,Turkey
Antalyaspor,Turkey
Ã–rebro SK,Denmark
Arezzo,Italy
Argentinos Juniors,Argentina
Ã–rgryte IS,Sweden
Arka Gdynia,Poland
Arsenal,England
Arsenal de SarandÃ­,Mexico
Arsenal Tula,Russia
AS BÃ©ziers,France
AS Monaco,France
AS Nancy Lorraine,France
AS Saint-Ã‰tienne,France
Ascoli,Italy
AssociaÃ§Ã£o AcadÃ©mica de Coimbra,Portugal
Ã–sters IF,Sweden
Ã–stersunds FK,Sweden
Aston Villa,England
Atalanta,Italy
Athletic Club de Bilbao,Spain
Athlone Town,Ireland
Atiker Konyaspor,Turkey
AtlÃ©tico Bucaramanga,Colombia
AtlÃ©tico Clube Goianiense,Portugal
AtlÃ©tico de Rafaela,Argentina
AtlÃ©tico Huila,Colombia
AtlÃ©tico Madrid,Spaun
AtlÃ©tico Mineiro,Brazil
AtlÃ©tico Nacional,Colombia
AtlÃ©tico Paranaense,Brazil
AtlÃ©tico TucumÃ¡n,Argentina
Atlanta United,United States
Atlante,Mexico
Audax Italiano,Chile
AvaÃ­ FC,Portugal
Avellino,Italy
Avispa Fukuoka,Japan
AZ Alkmaar,Netherlands
Bahia,Brazil
Bal?kesirspor,Turkey
BanÃ­k Ostrava,Czech Republic
Bari,Italy
Barnet,England
Barnsley,England
Bayer 04 Leverkusen,Germany
BB Erzurumspor,Turkey
Be?ikta? JK,Turkey
Beerschot AC,Belgium
Beijing Renhe FC,China
Beijing Sinobo Guoan FC,China
Belgrano de CÃ³rdoba,Spain
Benevento,Italy
Bilbao Athletic,Spain
Birmingham City,England
BK HÃ¤cken,
Blackburn Rovers,England
Blackpool,England
Boavista FC,Portugal
Boca Juniors,Argentina
Bohemian FC,Republic of Ireland
Bohemians 1905,Czech Republic
Bohemians Praha,Czech Republic
Bologna,Italy
Bolton Wanderers,England
Borussia Dortmund,Germany
Borussia MÃ¶nchengladbach,Germany
Boston United,United States
Botafogo,Brazil
Bournemouth,England
BoyacÃ¡ ChicÃ³ FC,Mexico
BrÃ¸ndby IF,Denmark
Bradford City,England
Bray Wanderers,Republic of Ireland
Brentford,England
Brescia,Italy
Brighton & Hove Albion,England
Brisbane Roar,Australia
Bristol City,England
Bristol Rovers,England
Bruk-Bet Termalica Nieciecza,Poland
BSC Young Boys,Switzerland
Bucaspor,Turkey
Burnley,England
Bursaspor,Turkey
Burton Albion,England
Bury,England
Busan IPark,South Korea
C.D. CastellÃ³n,Spain
C.P. Ejido,Portugal
CA Bastia,France
CA Osasuna,Spain
CÃ¡diz CF,Spain
CÃ³rdoba CF,Spain
Cagliari,Italy
Cambridge United,England
CÃºcuta Deportivo,Argentina
Cardiff City,England
Carlisle United,England
Carpi,Italy
Castellammare di Stabia,Italy
Catania,Italy
CD Alcoyano,Spain
CD Antofagasta,Chile
CD Aves,Portugal
CD Cobreloa,Chile
CD Cobresal,Chile
CD Everton de ViÃ±a del Mar,Chile
CD Feirense,
CD Guadalajara,Spain
CD Huachipato,Chile
CD LeganÃ©s,Spain
CD Lugo,Mexico
CD MirandÃ©s,Portugal
CD Nacional,Portugal
CD Numancia,Spain
CD O'Higgins,Chile
CD Palestino,Chile
CD Tenerife,Spain
CD Tondela,Portugal
CD Trofense,Portugal
CD Universidad de ConcepciÃ³n,Argentina
CE Sabadell FC,Spain
CearÃ¡ Sporting Club,Brazil
Celtic,Scotland
Central Coast Mariners,Australia
Cerezo Osaka,Japan
Cesena,Italy
CF Ciudad de Murcia,Spain
CF Estrela da Amadora,Portugal
CF Indios,Mexico
CF Rayo Majadahonda,Spain
CF Reus Deportiu,Spain
CFR Cluj,Romania
Chacarita Juniors,Argentina
Chamois Niortais Football Club,France
Changchun Yatai FC,China
Chapecoense,Brazil
Charlton Athletic,England
Chelsea,England
Cheltenham Town,England
Chemnitzer FC,Germany
Chester,England
Chesterfield,England
Chicago Fire,United States
Chievo Verona,Italy
Chivas USA,United States
Chongqing Dangdai Lifan FC SWM Team,China
Cittadella,Italy
Clermont Foot 63,France
Club AmÃ©rica,Mexico
Club AtlÃ©tico Aldosivi,Argentina
Club AtlÃ©tico Banfield,Argentina
Club AtlÃ©tico ColÃ³n,Mexico
Club AtlÃ©tico HuracÃ¡n,Argentina
